Year,soe,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals
2023,Johor,17211075,9538441,7672634
2023,Kedah,1067038,592088,474950
2023,Kelantan,547203,288620,258583
2023,Melaka,56977,25712,31265
2023,Negeri Sembilan,85615,55502,30113
2023,Pahang,9211,5033,4178
2023,Perak,229234,107022,122212
2023,Perlis,686268,402739,283529
2023,Pulau Pinang,1033007,483703,549304
2023,Sabah,354341,165025,189316
2023,Sarawak,1659515,899603,759912
2023,Selangor,7553241,4396425,3156816
2023,Terengganu,52,48,4
2023,W.P. Labuan,22527,14611,7916
