State,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals,Month
Johor,1234076,693195,540881,1
Johor,1096031,629023,467008,2
Johor,1301585,727417,574168,3
Johor,1227351,682404,544947,4
Johor,1298501,738863,559638,5
Johor,1510345,820088,690257,6
Johor,1545948,850439,695509,7
Johor,1510486,844529,665957,8
Johor,1599539,881702,717837,9
Johor,1575638,879290,696348,10
Johor,1558439,856873,701566,11
Johor,1753136,934618,818518,12
Kedah,85209,47879,37330,1
Kedah,82858,46952,35906,2
Kedah,100620,56619,44001,3
Kedah,85744,45197,40547,4
Kedah,91007,49427,41580,5
Kedah,77066,41554,35512,6
Kedah,85599,46887,38712,7
Kedah,76758,42486,34272,8
Kedah,85836,49393,36443,9
Kedah,98794,55547,43247,10
Kedah,90711,51274,39437,11
Kedah,106836,58873,47963,12
Kelantan,49955,26718,23237,1
Kelantan,51162,27656,23506,2
Kelantan,58591,29810,28781,3
Kelantan,46894,23322,23572,4
Kelantan,52302,27611,24691,5
Kelantan,36763,19306,17457,6
Kelantan,50017,26773,23244,7
Kelantan,35798,19658,16140,8
Kelantan,35224,19490,15734,9
Kelantan,47679,25452,22227,10
Kelantan,40481,21136,19345,11
Kelantan,42337,21688,20649,12
Melaka,5387,2439,2948,1
Melaka,5254,2330,2924,2
Melaka,4596,2112,2484,3
Melaka,5639,2551,3088,4
Melaka,5255,2309,2946,5
Melaka,5218,2463,2755,6
Melaka,5261,2352,2909,7
Melaka,3466,1678,1788,8
Melaka,4227,1879,2348,9
Melaka,3539,1571,1968,10
Melaka,3716,1708,2008,11
Melaka,5419,2320,3099,12
Negeri Sembilan,8081,5576,2505,1
Negeri Sembilan,9828,6595,3233,2
Negeri Sembilan,8450,5520,2930,3
Negeri Sembilan,4340,2174,2166,4
Negeri Sembilan,14303,10163,4140,5
Negeri Sembilan,5034,3303,1731,6
Negeri Sembilan,6499,4501,1998,7
Negeri Sembilan,7275,4710,2565,8
Negeri Sembilan,6045,3875,2170,9
