soe,continent,year,arrivals,total_arrivals,percentage_arrivals
Johor,Africa,2020,2653,3391353,0.07822836490332914
Johor,Africa,2021,20,8624,0.2319109461966605
Johor,Africa,2022,6143,9372662,0.06554167855407567
Johor,Africa,2023,13055,17209409,0.07585966490772578
Johor,Asia,2020,3318212,3391353,97.843309145347
Johor,Asia,2021,8192,8624,94.99072356215214
Johor,Asia,2022,9197472,9372662,98.13084052321528
Johor,Asia,2023,16856089,17209409,97.9469370505402
Johor,Europe,2020,38955,3391353,1.148656598118804
Johor,Europe,2021,347,8624,4.02365491651206
Johor,Europe,2022,95671,9372662,1.0207452269163233
Johor,Europe,2023,184798,17209409,1.0738195599860518
Johor,North America,2020,14077,3391353,0.41508507076674117
Johor,North America,2021,15,8624,0.17393320964749537
Johor,North America,2022,34303,9372662,0.36598993967775645
Johor,North America,2023,73766,17209409,0.42863761329630784
Johor,Oceania,2020,16028,3391353,0.4726137326311947
Johor,Oceania,2021,34,8624,0.39424860853432286
Johor,Oceania,2022,36354,9372662,0.38787273028729724
Johor,Oceania,2023,75922,17209409,0.44116564374755696
Johor,South America,2020,1428,3391353,0.042107088232926505
Johor,South America,2021,16,8624,0.1855287569573284
Johor,South America,2022,2719,9372662,0.029009901349264487
Johor,South America,2023,5779,17209409,0.03358046752215605
Kedah,Africa,2020,439,289159,0.1518195871475555
Kedah,Africa,2021,2,215047,0.0009300292494198943
Kedah,Africa,2022,416,537062,0.07745846848222365
Kedah,Africa,2023,1165,1066887,0.1091961941611436
Kedah,Asia,2020,251100,289159,86.83803720444462
Kedah,Asia,2021,214961,215047,99.96000874227494
Kedah,Asia,2022,512152,537062,95.36180180314378
Kedah,Asia,2023,979709,1066887,91.82875037375092
Kedah,Europe,2020,32066,289159,11.089400641169737
Kedah,Europe,2021,49,215047,0.02278571661078741
Kedah,Europe,2022,17421,537062,3.243759565934659
Kedah,Europe,2023,65480,1066887,6.1374822263276245
Kedah,North America,2020,2374,289159,0.8210015942785803
Kedah,North America,2021,9,215047,0.004185131622389524
