soe,month,arrivals
Johor,1,752
Johor,2,819
Johor,3,932
Johor,4,842
Johor,5,449
Johor,6,134
Johor,7,197
Johor,8,185
Johor,9,206
Johor,10,306
Johor,11,620
Johor,12,3185
Kedah,1,17928
Kedah,2,16131
Kedah,3,19205
Kedah,4,17851
Kedah,5,18426
Kedah,6,16891
Kedah,7,17481
Kedah,8,16343
Kedah,9,18833
Kedah,10,19383
Kedah,11,18318
Kedah,12,18257
Kelantan,1,0
Kelantan,2,3
Kelantan,3,4
Kelantan,4,5
Kelantan,5,1
Kelantan,6,1
Kelantan,7,3
Kelantan,8,0
Kelantan,9,6
Kelantan,10,0
Kelantan,11,4
Kelantan,12,0
Melaka,1,0
Melaka,2,0
Melaka,3,2
Melaka,4,0
Melaka,5,0
Melaka,6,0
Melaka,7,2
Melaka,8,0
Melaka,9,0
Melaka,10,0
Melaka,11,3
Melaka,12,0
Negeri Sembilan,1,0
Negeri Sembilan,2,0
Negeri Sembilan,3,0
Negeri Sembilan,4,0
Negeri Sembilan,5,0
Negeri Sembilan,6,0
Negeri Sembilan,7,0
Negeri Sembilan,8,0
Negeri Sembilan,9,0
Negeri Sembilan,10,0
Negeri Sembilan,11,0
Negeri Sembilan,12,0
Pahang,1,0
Pahang,2,0
Pahang,3,1
Pahang,4,3
Pahang,5,3
Pahang,6,0
Pahang,7,0
Pahang,8,0
Pahang,9,0
Pahang,10,0
Pahang,11,0
Pahang,12,0
Perak,1,9
Perak,2,6
Perak,3,4
Perak,4,10
Perak,5,9
Perak,6,1
Perak,7,1
Perak,8,3
Perak,9,2
Perak,10,7
Perak,11,5
Perak,12,12
Perlis,1,9933
Perlis,2,9335
Perlis,3,10974
Perlis,4,8160
Perlis,5,8617
Perlis,6,7248
Perlis,7,6961
Perlis,8,7382
Perlis,9,7743
Perlis,10,7956
Perlis,11,7404
Perlis,12,9208
Pulau Pinang,1,91
Pulau Pinang,2,101
Pulau Pinang,3,157
Pulau Pinang,4,109
Pulau Pinang,5,134
Pulau Pinang,6,347
Pulau Pinang,7,162
Pulau Pinang,8,257
Pulau Pinang,9,267
Pulau Pinang,10,282
Pulau Pinang,11,366
Pulau Pinang,12,366
Sabah,1,10
Sabah,2,18
Sabah,3,18
Sabah,4,7
Sabah,5,12
Sabah,6,4
Sabah,7,5
Sabah,8,7
Sabah,9,2
Sabah,10,10
Sabah,11,35
Sabah,12,28
Sarawak,1,946
Sarawak,2,756
Sarawak,3,1087
Sarawak,4,981
Sarawak,5,899
Sarawak,6,811
Sarawak,7,976
Sarawak,8,702
Sarawak,9,674
Sarawak,10,570
Sarawak,11,811
Sarawak,12,694
Selangor,1,6179
Selangor,2,6120
Selangor,3,10026
Selangor,4,9902
Selangor,5,6865
Selangor,6,4170
Selangor,7,5528
Selangor,8,6770
Selangor,9,7276
Selangor,10,10050
Selangor,11,14754
Selangor,12,45375
Terengganu,1,13
Terengganu,2,11
Terengganu,3,18
Terengganu,4,0
Terengganu,5,4
Terengganu,6,0
Terengganu,7,0
Terengganu,8,0
Terengganu,9,1
Terengganu,10,0
Terengganu,11,0
Terengganu,12,0
W.P. Labuan,1,6
W.P. Labuan,2,9
W.P. Labuan,3,6
W.P. Labuan,4,10
W.P. Labuan,5,15
W.P. Labuan,6,0
W.P. Labuan,7,15
W.P. Labuan,8,9
W.P. Labuan,9,7
W.P. Labuan,10,0
W.P. Labuan,11,3
W.P. Labuan,12,10
