soe,country,arrivals,total_top_10_arrivals,percentage_arrivals
Johor,SGP,13881786,16656634,83.34088387845948
Johor,IDN,1189864,16656634,7.14348409168383
Johor,CHN,492265,16656634,2.955369013931626
Johor,IND,284215,16656634,1.7063171346623816
Johor,PHL,261284,16656634,1.5686482635087016
Johor,VNM,184200,16656634,1.1058656869088916
Johor,KOR,134253,16656634,0.8060031816752413
Johor,THA,83470,16656634,0.5011216551915592
Johor,JPN,72785,16656634,0.43697304029133377
Johor,TWN,72512,16656634,0.4353340536869574
Kedah,THA,789859,994214,79.4455720800552
Kedah,SGP,63209,994214,6.357685568700501
Kedah,IDN,62635,994214,6.2999515194917795
Kedah,GBR,16399,994214,1.6494436811390707
Kedah,IND,13844,994214,1.3924567547831754
Kedah,CHN,13060,994214,1.3136004924493117
Kedah,DEU,10391,994214,1.0451472218254823
Kedah,LAO,10137,994214,1.0195994021407866
Kedah,AUS,7713,994214,0.7757887134962895
Kedah,USA,6967,994214,0.7007545659184039
Kelantan,THA,530654,545130,97.34448663621521
Kelantan,KHM,7203,545130,1.3213361950360465
Kelantan,LAO,2915,545130,0.5347348338928329
Kelantan,IDN,1817,545130,0.3333149890851724
Kelantan,SGP,935,545130,0.1715187203052483
Kelantan,RUS,663,545130,0.12162236530735787
Kelantan,PHL,334,545130,0.061269788857703664
Kelantan,FRA,251,545130,0.04604406288408269
Kelantan,GBR,194,545130,0.03558784143231889
Kelantan,VNM,164,545130,0.03008456698402216
Melaka,IDN,56036,56701,98.82718117846247
Melaka,SGP,257,56701,0.4532547926844324
Melaka,THA,127,56701,0.22398194035378566
Melaka,DEU,50,56701,0.08818186628101797
Melaka,FRA,48,56701,0.08465459162977726
Melaka,TWN,44,56701,0.07760004232729581
Melaka,KOR,40,56701,0.07054549302481439
Melaka,USA,38,56701,0.06701821837357365
Melaka,GBR,32,56701,0.056436394419851495
Melaka,IND,29,56701,0.05114548244299043
Negeri Sembilan,IDN,85464,85558,99.89013300918675
Negeri Sembilan,FRA,25,85558,0.029219944365225927
